Block,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"19874237","2024-05-15 08:38:59","331","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","21,039,565","70.13%","+40%","30,000,000","8.3 Gwei","0.07184 ETH","0.174638","70.85%"
"19874236","2024-05-15 08:38:47","26","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","3,822,026","12.74%","-75%","30,000,000","9.15 Gwei","0.03638 ETH","0.034983","49.02%"
"19874235","2024-05-15 08:38:35","138","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,511,093","38.37%","-23%","30,000,000","9.42 Gwei","0.05179 ETH","0.108517","67.69%"
"19874234","2024-05-15 08:38:23","235","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","16,724,370","55.75%","+11%","30,000,000","9.29 Gwei","0.08104 ETH","0.155429","65.73%"
"19874233","2024-05-15 08:38:11","173","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","15,686,583","52.29%","+5%","30,000,000","9.24 Gwei","0.12245 ETH","0.144955","54.21%"
"19874232","2024-05-15 08:37:59","193","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","15,538,387","51.79%","+4%","30,000,000","9.19 Gwei","0.08006 ETH","0.142945","64.10%"
"19874231","2024-05-15 08:37:47","165","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,897,586","39.66%","-21%","30,000,000","9.44 Gwei","0.0357 ETH","0.112356","75.89%"
"19874230","2024-05-15 08:37:35","195","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","13,318,834","44.40%","-11%","30,000,000","9.57 Gwei","0.09455 ETH","0.127565","57.43%"
"19874229","2024-05-15 08:37:23","259","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","29,981,307","99.94%","+100%","30,000,000","8.51 Gwei","0.14566 ETH","0.255284","63.67%"
"19874228","2024-05-15 08:37:11","64","0x7e2a2fa2a064f693f0a55c5639476d913ff12d05","MEV Builder: 0x7e2...D05","3,688,516","12.30%","-75%","30,000,000","9.4 Gwei","0.01041 ETH","0.034675","76.91%"
"19874227","2024-05-15 08:36:59","128","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,440,680","31.47%","-37%","30,000,000","9.85 Gwei","0.02391 ETH","0.093062","79.56%"
"19874226","2024-05-15 08:36:47","211","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","16,635,290","55.45%","+11%","30,000,000","9.72 Gwei","0.11168 ETH","0.161779","59.16%"
"19874225","2024-05-15 08:36:35","202","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","13,518,349","45.06%","-10%","30,000,000","9.84 Gwei","0.09142 ETH","0.133110","59.28%"
"19874224","2024-05-15 08:36:23","156","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,717,244","32.39%","-35%","30,000,000","10.3 Gwei","0.03316 ETH","0.100088","75.11%"
"19874223","2024-05-15 08:36:11","157","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","15,994,951","53.32%","+7%","30,000,000","10.21 Gwei","0.20157 ETH","0.163395","44.77%"
"19874222","2024-05-15 08:35:59","241","0xdf99a0839818b3f120ebac9b73f82b617dc6a555","","20,235,025","67.45%","+35%","30,000,000","9.78 Gwei","0.05611 ETH","0.198068","77.92%"
"19874221","2024-05-15 08:35:47","165","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","10,465,884","34.89%","-30%","30,000,000","10.17 Gwei","0.06197 ETH","0.106467","63.21%"
"19874220","2024-05-15 08:35:35","206","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","13,499,313","45.00%","-10%","30,000,000","10.3 Gwei","0.02305 ETH","0.139064","85.78%"
"19874219","2024-05-15 08:35:23","211","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","14,029,982","46.77%","-6%","30,000,000","10.38 Gwei","0.04041 ETH","0.145709","78.29%"
"19874218","2024-05-15 08:35:11","192","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","14,124,193","47.08%","-6%","30,000,000","10.46 Gwei","0.07511 ETH","0.147765","66.30%"
"19874217","2024-05-15 08:34:59","197","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","22,117,596","73.73%","+47%","30,000,000","9.87 Gwei","0.06472 ETH","0.218435","77.14%"
"19874216","2024-05-15 08:34:47","152","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,451,737","38.17%","-24%","30,000,000","10.17 Gwei","0.05784 ETH","0.116544","66.83%"
"19874215","2024-05-15 08:34:35","190","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","19,313,722","64.38%","+29%","30,000,000","9.82 Gwei","0.08681 ETH","0.189735","68.61%"
"19874214","2024-05-15 08:34:23","163","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","12,837,371","42.79%","-14%","30,000,000","10 Gwei","0.10143 ETH","0.128427","55.87%"
"19874213","2024-05-15 08:34:11","138","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,664,648","38.88%","-22%","30,000,000","10.29 Gwei","0.05349 ETH","0.120031","69.17%"